transcript_id	kw20-BHI1-F	kw20-BHI1-G	kw20-BHI1-H	kw20-BHI2-F	kw20-BHI2-G	kw20-BHI2-H	kw20-BHI3-F	kw20-BHI3-G	kw20-BHI3-H	kw20-MIV0-A	kw20-MIV0-B	kw20-MIV0-C	kw20-MIV1-A	kw20-MIV1-B	kw20-MIV1-C	kw20-MIV2-A	kw20-MIV2-B	kw20-MIV2-C	kw20-MIV3-A	kw20-MIV3-B	kw20-MIV3-C	sxyx-MIV0-A	sxyx-MIV0-B	sxyx-MIV0-D	sxyx-MIV1-A	sxyx-MIV1-B	sxyx-MIV1-D	sxyx-MIV2-A	sxyx-MIV2-B	sxyx-MIV2-D	sxyx-MIV3-A	sxyx-MIV3-B	sxyx-MIV3-D
gene-HI_0001	32158	37034	33694	68183	69602	52784	66141	69466	66987	26944	34419	34827	35500	46012	42980	27276	33276	29741	36661	47615	21036	36981	33139	60237	46279	34759	47861	38220	49886	58319	34175	52741	63405
gene-HI_0002	8442	10597	8781	2395	2523	1989	1525	1784	1367	1814	1787	1302	414	721	876	675	602	967	494	620	1074	3771	2662	2486	902	518	546	862	679	703	733	658	936
gene-HI_0003	1815	2162	1918	1820	1881	1468	1542	1771	1520	1942	2295	1083	1662	2370	1208	1370	1265	1044	1172	917	283	2847	2193	2139	2439	1396	1514	1993	1888	1186	1296	1427	1267
gene-HI_0004	1308	1576	1228	1266	1346	1055	1057	1123	1099	1313	1488	728	923	1307	694	657	710	490	642	550	169	1733	1618	1357	1250	885	838	1006	1195	523	731	816	733
gene-HI_0005	1444	1564	1389	1249	1536	1066	1094	1156	1209	850	1080	772	550	740	652	694	622	887	626	674	344	1301	958	1717	845	514	868	870	823	798	837	800	979
gene-HI_0007	4304	4680	3820	7613	7295	5838	8284	8734	7993	2872	3114	1868	7793	8406	8609	5195	4982	3418	2152	2143	432	4147	2749	6099	8702	7690	13581	6662	5932	9109	3109	3430	3476
gene-HI_0008	3702	4020	3482	6958	6166	5111	6985	7868	6988	1699	2429	1595	4678	5622	6684	3025	2592	2379	1350	1283	349	3094	1711	5171	5517	5045	11567	4204	3623	6648	2052	2096	2570
gene-HI_0009	1247	1659	1310	1858	1754	1298	1661	1877	1593	946	967	420	1738	2786	1766	1072	866	714	530	259	154	1240	701	1328	3078	1849	3349	1934	1517	1658	741	793	884
gene-HI_0010	638	679	670	666	703	520	540	566	430	400	531	454	273	391	332	233	239	316	195	246	130	717	410	644	461	249	409	441	276	326	347	243	403
gene-HI_0011	1284	1621	1445	1914	1922	1325	1399	1421	1231	1316	1384	952	970	1149	833	1052	866	969	862	1086	782	2417	1679	1561	1444	911	1061	1436	1027	991	973	896	1075
gene-HI_0012	975	996	905	1037	928	761	812	801	899	900	939	611	641	1182	795	692	739	682	558	754	330	1302	831	1149	1069	563	1011	838	829	755	677	633	911
gene-HI_0013	3212	3059	3354	2813	2931	2267	2363	2464	2388	2852	3208	1818	1392	1811	1316	925	1027	985	1351	945	347	4588	3376	2870	2644	1503	1909	1783	1458	1200	1618	1520	1515
gene-HI_0014	3204	3496	3392	3463	3369	2686	2819	3147	3113	3120	3486	1963	2263	2800	1614	1676	1724	1374	1814	1260	305	5029	4215	3304	3316	2561	2235	2726	2688	1518	2295	2084	1801
gene-HI_0015	4584	4768	4498	4514	4625	3759	4005	3998	4695	4129	4834	2999	2353	2986	1815	1753	1770	1837	2268	1497	602	7158	6194	5240	3887	2733	3004	2793	2872	1590	2770	2902	2556
gene-HI_0016	8489	9912	8897	9288	9174	7207	7368	8267	7581	7687	9026	5407	4916	6146	3781	5074	4705	5388	4908	7121	2611	12386	12114	8634	7774	5478	4704	7439	7480	4094	6101	6315	5606
gene-HI_0017	1445	1537	1606	6519	5275	4064	6239	5482	7501	3964	3850	2206	5595	6796	2889	6248	7019	5103	5724	5668	2338	5808	5462	4359	6730	4394	4140	7600	6984	5527	6628	6808	5964
gene-HI_0018	641	751	677	804	771	698	813	889	808	308	420	472	588	800	677	517	592	693	406	607	572	577	518	784	732	547	854	602	617	694	480	588	757
gene-HI_0019	12018	12985	12336	12721	11285	9309	9763	10043	8200	7745	9207	6810	3607	4839	3338	2790	2990	2981	4348	5124	1877	12712	11650	11589	6618	5192	5096	4294	4833	3692	5299	6057	5370
gene-HI_0020	5366	5561	4913	13565	11045	9261	12523	12849	11745	6149	9938	6207	9072	13456	6741	7472	10095	5649	8303	3762	1006	7287	7074	11883	12690	10563	8698	9644	12605	9269	8508	13226	9119
gene-HI_0021	2463	2847	2542	5313	4619	3711	4381	5170	4413	2716	4467	2681	4433	6202	3275	4008	5355	3174	4446	3228	466	3723	2797	4358	6496	4246	3622	6062	5805	4686	5206	5539	4622
gene-HI_0022	6469	6366	6020	11209	10641	8731	10650	10512	10119	4035	7711	7279	7819	11731	10264	6814	8619	8857	6774	6170	1172	5596	5087	11778	10452	8624	10770	8343	11184	12450	7246	11741	12342
gene-HI_0023	4974	5425	4976	8360	9665	7366	7779	8987	8506	4298	6654	5410	7513	11977	8614	6820	8964	7235	6230	6503	1608	4990	4808	9526	10169	8049	8741	8372	10532	10414	6367	9585	9564
gene-HI_0024	1264	1363	1238	2611	2903	2357	2669	2677	2799	1114	2009	1556	2454	4131	3086	2560	3047	3153	1838	2236	184	1327	1202	3201	3374	2438	2739	2925	3477	3443	2046	2571	2934
gene-HI_0025	2296	2746	2428	6069	5514	4372	4783	5128	5144	2832	4637	3060	3993	6365	3402	4030	4038	3337	3602	4929	1533	4302	2716	5367	6090	3420	4035	5045	4070	4023	4616	3517	3815
gene-HI_0026	7498	8225	7825	7961	6155	5019	5613	6223	4591	5058	6682	3959	2287	2911	1994	1899	1747	2070	3650	876	1131	9378	7727	6401	4628	2899	2771	3721	3390	1676	4595	4549	2653
gene-HI_0027	2352	2880	2680	3028	2783	2195	2338	2691	2505	2321	2926	1620	1552	2415	1449	1404	1621	1302	1731	1276	599	3814	3119	2733	2834	1772	1863	2325	2186	1487	2125	2143	1813
gene-HI_0028	1052	1146	1126	1295	1327	921	1054	1145	1086	885	1084	737	343	846	600	475	414	443	497	277	178	1364	668	1185	839	378	785	647	490	617	668	588	662
gene-HI_0029	4048	4877	4372	5207	5423	4150	4397	4859	4738	4212	4749	2730	2248	4009	2256	1910	2313	1702	2402	1237	488	5614	4441	5324	4419	2573	3625	3218	3015	2431	2772	2858	2572
gene-HI_0030	1821	2120	1974	2008	1914	1450	1694	1742	1649	1535	1922	950	826	1449	891	829	770	689	1065	525	351	2614	1625	1819	1559	918	1117	1331	997	909	1473	1080	1131
gene-HI_0031	1555	1747	1721	1799	1632	1253	1661	1783	1724	1375	1930	930	922	1451	1074	988	1135	864	1396	756	346	2516	1883	1725	1716	1080	996	1720	1494	1028	1819	1777	1489
gene-HI_0032	4440	5021	4852	4121	3935	3048	3467	4018	3337	2687	3655	2086	1351	2248	1691	1235	1219	1522	1617	1191	1075	4633	3274	3768	2576	1649	1717	2456	2009	1595	2269	2116	2016
gene-HI_0033	2419	2883	2866	2973	2800	2003	2605	3101	2660	1931	2616	1457	1534	2267	1347	1694	1394	1662	1619	1716	808	3192	2837	2280	2420	1739	1260	2624	2531	1358	2246	2259	1751
gene-HI_0034	1214	1447	1375	1568	1579	1157	1366	1415	1320	1037	1491	856	739	1025	763	650	467	637	719	676	369	1897	1593	1414	1177	948	765	1012	1149	576	862	956	741
gene-HI_0035	343	356	339	1757	1508	961	1628	2276	2420	203	546	599	2789	3383	5570	2257	2977	3694	1727	1635	634	354	289	988	2948	2268	5956	2850	2475	4906	1917	2493	4315
gene-HI_0036	5685	6477	5703	5700	4984	4038	3844	3724	2274	3184	3967	3060	936	1409	957	649	789	759	900	1087	567	5271	3629	5846	2074	1225	1158	1280	1000	732	1236	1128	1227
gene-HI_0037	7405	6367	6195	7066	6426	5429	6459	6070	5911	5018	6563	5084	3570	4289	3326	2836	3255	2671	3683	3028	1331	8184	6888	8403	5401	3841	4416	4222	4229	3114	5137	4868	4223
gene-HI_0038	1371	1347	1323	1328	1238	923	1115	1261	924	948	1169	850	410	593	591	396	389	604	619	269	375	1613	1145	1245	835	501	649	625	463	492	895	696	688
gene-HI_0039	772	893	928	810	778	616	618	633	428	605	746	495	242	423	294	174	245	331	404	234	186	942	613	676	502	311	425	310	247	287	543	345	424
gene-HI_0040	2736	3031	2980	3005	2908	2184	2558	2868	2603	1683	2103	1711	884	1669	1504	1288	905	1500	1213	1163	564	2978	1226	2714	1954	842	2023	1349	906	1601	1775	1070	1663
gene-HI_0041	3395	3924	3871	4391	3769	3118	3216	3742	3373	2989	3295	2505	2808	3545	2399	2421	2401	2328	2481	2093	990	4526	4076	3750	4011	2697	3135	3000	3267	2666	2735	2945	2693
