"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"symbol"	"description"	"MIV0_avg"	"MIV2_avg"	"log2FC"
"gene-HI_0001"	31293.9646599413	0.0977477000544662	0.238909457895784	0.409141190622538	0.682436049456224	0.770891791446661	"gapdH"	"glyceraldehyde-3-phosphate_dehydrogenase"	2524.53	2968.99666666667	0.233875132633843
"gene-HI_0002"	1159.2323298059	-0.912424915822265	0.266081876309896	-3.42911335591905	0.000605556554848511	0.00192255933533871	"."	"long_chain_fatty_acid_coA_ligase%2C_putative"	70.63	41.6133333333333	-0.749259034505429
"gene-HI_0003"	1465.10962530484	-0.278517170262628	0.272006332718294	-1.02393634544927	0.305865341782968	0.425138190372976	"."	"conserved_hypothetical_protein"	173.05	156.353333333333	-0.145494073413609
"gene-HI_0004"	867.595711265603	-0.677965891532939	0.287916985775741	-2.35472697001978	0.0185363197045241	0.0405380241467823	"."	"conserved_hypothetical_protein"	195.223333333333	133.553333333333	-0.544318473916547
"gene-HI_0005"	811.239169192586	-0.0742844745092075	0.236791757866924	-0.313712247328114	0.753739598015167	0.824195808871039	"fdhD"	"fdhD_protein"	87.1	91.5033333333333	0.070363334557027
"gene-HI_0007"	3648.19185786064	1.02849028029943	0.262783207369433	3.91383563126059	9.08414843488629e-05	0.000325795693868453	"fdxH"	"formate_dehydrogenase%2C_beta_subunit"	217.406666666667	484.38	1.15209776981518
"gene-HI_0008"	2316.1702212515	0.716209234524907	0.22070454812927	3.24510410227438	0.00117407693640135	0.00348622844999584	"fdxI"	"formate_dehydrogenase%2C_gamma_subunit"	207.996666666667	374.486666666667	0.845281746677329
"gene-HI_0009"	830.053137121697	0.442876451937648	0.332643742636709	1.33138368522184	0.183062794862243	0.278427968101998	"fdhE"	"fdhE_protein"	65.7833333333333	97.8666666666667	0.565996088023833
"gene-HI_0010"	356.600228572783	-0.60910463955368	0.275677087783877	-2.20948590414304	0.0271408617853472	0.055720285149423	"rimI"	"ribosomal-protein-alanine_acetyltransferase"	83.18	60.27	-0.458296658363726
"gene-HI_0011"	1081.42916401424	-0.1136452904322	0.222043267713626	-0.51181596993416	0.608779812411275	0.711637815575651	"holD"	"DNA_polymerase_III%2C_psi_subunit"	236.11	239.97	0.0232970376110883
