"kw20.BHI1.F"	"kw20.BHI1.G"	"kw20.BHI1.H"	"kw20.BHI2.F"	"kw20.BHI2.G"	"kw20.BHI2.H"	"kw20.BHI3.F"	"kw20.BHI3.G"	"kw20.BHI3.H"	"kw20.MIV0.A"	"kw20.MIV0.B"	"kw20.MIV0.C"	"kw20.MIV1.A"	"kw20.MIV1.B"	"kw20.MIV1.C"	"kw20.MIV2.A"	"kw20.MIV2.B"	"kw20.MIV2.C"	"kw20.MIV3.A"	"kw20.MIV3.B"	"kw20.MIV3.C"	"sxyx.MIV0.A"	"sxyx.MIV0.B"	"sxyx.MIV0.D"	"sxyx.MIV1.A"	"sxyx.MIV1.B"	"sxyx.MIV1.D"	"sxyx.MIV2.A"	"sxyx.MIV2.B"	"sxyx.MIV2.D"	"sxyx.MIV3.A"	"sxyx.MIV3.B"	"sxyx.MIV3.D"
"gene-HI_0001"	2210.15	2221.14	2139.11	3578.41	3854.58	3649.73	4295.41	4183.1	4232.43	2115.87	2230.57	3227.15	3377.64	2980.18	4152.71	2712	3140.47	3054.52	3291.14	4251.57	3703.38	1755.48	1972.76	3353.45	2793.35	2977.87	3641.87	2874.46	3672.39	4751.96	2506.88	3505.37	4665.54
"gene-HI_0002"	324.45	355.41	311.75	70.29	78.14	76.91	55.38	60.08	48.3	79.66	64.76	67.47	22.03	26.11	47.33	37.53	31.77	55.54	24.8	30.96	105.73	100.1	88.62	77.39	30.45	24.82	23.23	36.25	27.95	32.03	30.07	24.46	38.51
"gene-HI_0003"	161.26	167.63	157.42	123.48	134.67	131.22	129.46	137.87	124.16	197.15	192.27	129.73	204.43	198.45	150.89	176.1	154.34	138.62	136.02	105.85	64.41	174.71	168.77	153.94	190.32	154.61	148.93	193.77	179.68	124.93	122.9	122.61	120.53
"gene-HI_0004"	197.19	207.34	171.01	145.75	163.51	160.01	150.58	148.34	152.32	226.17	211.53	147.97	192.63	185.69	147.09	143.29	146.98	110.39	126.42	107.72	65.26	180.45	211.28	165.71	165.5	166.31	139.87	165.96	192.97	93.48	117.62	118.97	118.31
"gene-HI_0005"	124.51	117.69	110.64	82.24	106.72	92.48	89.14	87.34	95.84	83.74	87.81	89.75	65.65	60.13	79.04	86.57	73.65	114.29	70.51	75.5	75.98	77.48	71.55	119.92	63.99	55.25	82.87	82.09	76.01	81.58	77.03	66.71	90.38
"gene-HI_0007"	321.32	304.9	263.44	434.02	438.85	438.49	584.4	571.31	548.58	244.99	219.21	188.02	805.42	591.42	903.55	561.08	510.74	381.32	209.85	207.86	82.61	213.84	177.76	368.83	570.55	715.65	1122.56	544.26	474.36	806.25	247.73	247.64	277.84
"gene-HI_0008"	361.95	342.99	314.48	519.49	485.78	502.74	645.33	674.02	628.11	189.8	223.94	210.25	633.18	518.02	918.72	427.87	348	347.59	172.41	162.97	87.41	208.94	144.9	409.53	473.72	614.87	1252.12	449.79	379.42	770.61	214.13	198.18	269.02
"gene-HI_0009"	96.17	111.65	93.32	109.42	109	100.71	121.04	126.83	112.94	83.36	70.32	43.67	185.55	202.48	191.47	119.6	91.71	82.29	53.39	25.95	30.42	66.05	46.83	82.96	208.47	177.75	285.95	163.21	125.31	151.59	60.99	59.14	72.99
"gene-HI_0010"	101.42	94.19	98.38	80.84	90.05	83.16	81.11	78.83	62.84	72.65	79.59	97.3	60.08	58.57	74.19	53.58	52.17	75.06	40.49	50.8	52.93	78.72	56.45	82.92	64.36	49.34	71.98	76.71	46.99	61.44	58.87	37.36	68.59
"gene-HI_0011"	222.25	244.85	231.04	252.99	268.07	230.74	228.82	215.51	195.89	260.27	225.89	222.17	232.44	187.43	202.7	263.43	205.84	250.64	194.89	244.22	346.73	288.96	251.73	218.86	219.51	196.56	203.33	272	190.41	203.37	179.76	149.98	199.22
"gene-HI_0012"	68.83	61.36	59.02	55.9	52.79	54.05	54.17	49.55	58.35	72.6	62.51	58.16	62.65	78.64	78.9	70.67	71.64	71.95	51.45	69.16	59.68	63.49	50.81	65.71	66.28	49.54	79.02	64.74	62.69	63.19	51.01	43.22	68.86
"gene-HI_0013"	247.71	205.87	238.94	165.66	182.14	175.89	172.2	166.5	169.31	251.31	233.29	189.03	148.61	131.62	142.68	103.2	108.76	113.52	136.09	94.68	68.55	244.39	225.51	179.29	179.08	144.49	163	150.47	120.44	109.72	133.18	113.36	125.09
"gene-HI_0014"	328.37	312.67	321.13	271.03	278.23	276.95	273.01	282.6	293.31	365.36	336.89	271.25	321.08	270.44	232.55	248.5	242.63	210.44	242.84	167.77	80.07	355.99	374.18	274.29	298.47	327.18	253.61	305.73	295.08	184.45	251.05	206.55	197.62
"gene-HI_0015"	306.05	277.79	277.4	230.14	248.82	252.49	252.67	233.87	288.17	314.98	304.32	269.95	217.48	187.88	170.35	169.32	162.27	183.28	197.79	129.85	102.95	330.08	358.19	283.38	227.91	227.45	222.05	204.05	205.38	125.86	197.39	187.37	182.7
"gene-HI_0016"	331.16	337.43	320.61	276.69	288.38	282.86	271.6	282.57	271.88	342.64	332.02	284.39	265.49	225.95	207.36	286.36	252.04	314.1	250.09	360.91	260.91	333.73	409.33	272.83	266.34	266.39	203.17	317.56	312.55	189.35	254.03	238.24	234.14
"gene-HI_0017"	263.8	244.86	270.83	908.79	775.97	746.42	1076.26	876.87	1258.89	826.85	662.74	542.97	1414.02	1169.21	741.45	1650.13	1759.57	1392.14	1364.93	1344.32	1093.32	732.34	863.68	644.59	1079.01	999.92	836.78	1518.26	1365.66	1196.25	1291.45	1201.92	1165.7
"gene-HI_0018"	68.08	69.61	66.42	65.21	65.99	74.59	81.6	82.73	78.9	37.38	42.07	67.59	86.46	80.08	101.09	79.44	86.35	110	56.33	83.76	155.63	42.33	47.66	67.45	68.28	72.42	100.43	69.97	70.2	87.39	54.42	60.4	86.09
"gene-HI_0019"	591.22	557.45	560.58	477.88	447.34	460.73	453.84	432.89	370.85	435.34	427.09	451.68	245.65	224.34	230.85	198.56	201.99	219.15	279.39	327.49	236.53	431.93	496.42	461.81	285.93	318.39	277.56	231.16	254.67	215.33	278.23	288.16	282.84
"gene-HI_0020"	261.23	236.25	220.94	504.28	433.27	453.58	576.08	548.07	525.64	342.03	456.2	407.4	611.4	617.34	461.35	526.24	674.85	410.96	527.98	237.94	125.45	245.02	298.29	468.59	542.55	641.01	468.81	513.76	657.28	534.97	442.07	622.66	475.3
"gene-HI_0021"	138.02	139.22	131.58	227.35	208.57	209.21	231.98	253.84	227.34	173.9	236.03	202.55	343.9	327.53	258	324.92	412.06	265.79	325.43	235.01	66.89	144.1	135.76	197.81	319.69	296.59	224.72	371.73	348.43	311.32	311.37	300.17	277.3
"gene-HI_0022"	301.72	259.11	259.37	399.23	399.93	409.7	469.38	429.59	433.89	215.04	339.13	457.74	504.87	515.64	673.01	459.78	552.03	617.33	412.69	373.88	140.02	180.28	205.51	444.98	428.14	501.4	556.16	425.82	558.74	688.45	360.72	529.58	616.32
"gene-HI_0023"	398.05	378.85	367.84	510.88	623.24	593.04	588.24	630.14	625.78	393	502.11	583.71	832.33	903.26	969.1	789.57	985.06	865.21	651.22	676.11	329.62	275.81	333.27	617.5	714.69	802.93	774.46	733.15	902.77	988.04	543.82	741.78	819.43
"gene-HI_0024"	307.67	289.52	278.36	485.32	569.39	577.2	613.89	570.93	626.34	309.83	461.11	510.65	826.93	947.62	1056.01	901.48	1018.46	1146.88	584.38	707.11	114.73	223.1	253.42	631.13	721.26	739.74	738.15	779.11	906.53	993.59	531.54	605.2	764.62
"gene-HI_0025"	159.68	166.65	155.98	322.31	309	305.9	314.32	312.47	328.88	225.04	304.08	286.92	384.44	417.17	332.61	405.46	385.63	346.8	327.21	445.35	273.1	206.65	163.61	302.34	371.96	296.49	310.69	383.94	303.18	331.71	342.63	236.54	284.06
"gene-HI_0026"	545.82	522.5	526.19	442.54	361.04	367.58	386.1	396.92	307.24	420.71	458.67	388.56	230.48	199.7	204.06	199.99	174.63	225.18	347.06	82.85	210.9	471.52	487.21	377.44	295.88	263.06	223.33	296.41	264.33	144.65	357.01	320.24	206.77
"gene-HI_0027"	258.03	275.72	271.59	253.67	246.02	242.27	242.37	258.67	252.64	290.94	302.68	239.62	235.71	249.68	223.48	222.83	244.2	213.45	248.05	181.87	168.33	289	296.38	242.87	273.05	242.33	226.28	279.12	256.87	193.41	248.82	227.36	212.95
"gene-HI_0028"	264.33	251.28	261.35	248.47	268.67	232.82	250.25	252.07	250.86	254.08	256.83	249.67	119.31	200.33	211.94	172.66	142.84	166.34	163.12	90.42	114.56	236.72	145.38	241.18	185.14	118.39	218.38	177.9	131.87	183.8	179.14	142.88	178.09
